farmer_id,farmer_name,aadhaar,aadhaar_hash,dob,gender,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,mobile_no,address,farmer_category,caste_category,farm_area_ha,crop
FARM0091,Pooja Joshi,XXXX-XXXX-0728,948c7ca9af3c2e2f85b28ea12d3d116139ec1f91248b56516ce23e9246598f3d,1981-09-25,Female,27,497,,558123,6540842888,"Vill. E, Tal. Y",Big Farmer (Land >=2 Hectare),General,3.22,Cotton
FARM0050,Sangeeta Kumar,XXXX-XXXX-1735,f1fda583f30400559b56d332af9cb4d3d8cf2907a695ad6152b60912b5988ab4,1995-08-17,Female,27,498,,548378,8442971132,"Vill. C, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),General,1.85,Cotton
FARM0066,Sangeeta Sharma,XXXX-XXXX-2426,b0085f578677f62ee61e55a1c145d37d5c253e155886079c2a70018addb0cbb5,1961-08-12,Female,27,466,,558532,7815162579,"Vill. D, Tal. X",Small Farmer (Land >=1 & <2 Hectare),OBC,1.41,Cotton
FARM0017,Geeta Deshmukh,XXXX-XXXX-6578,1bf898c60496745ec21762b81c5e0f8986455397f8f75d9d98f4d5057fbe732f,1975-04-14,Female,27,466,,558532,8482311051,"Vill. A, Tal. Z",Big Farmer (Land >=2 Hectare),OBC,2.91,Gram
FARM0064,Kavita Mehta,XXXX-XXXX-6693,359168ef17293e03938ac52c95a7775fc48a7c7a73f3e942f0a5cddece168422,1997-07-10,Female,27,497,,552577,6250180603,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),OBC,2.19,Gram
FARM0099,Rekha Yadav,XXXX-XXXX-9459,ff576af88fc05014fbb4517f18e694207135c02581fc8c952884444ff5bbe634,1955-10-15,Female,27,497,,548378,6703897022,"Vill. E, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),OBC,1.02,Gram
FARM0008,Anita Yadav,XXXX-XXXX-0575,67f208d3dd57ce58473b4482604b1e9693b646ced9a9ab4e0e5b990c281d65cb,1996-11-02,Female,27,497,,552577,7757173604,"Vill. E, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.37,Gram
FARM0030,Priti Yadav,XXXX-XXXX-6946,cd0c8eb53f5827554eb598a5f5ea1c90d8d302fe367645998fd83121117d1bb1,1997-03-07,Female,27,498,,558532,9641205370,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),SC,3.04,Gram
FARM0067,Pooja Yadav,XXXX-XXXX-7087,2116ced72078275f9113034c0fa7370df81a8ac351a05e6409a97a9616001f4a,1962-01-24,Female,27,469,,534259,6484790442,"Vill. D, Tal. Z",Big Farmer (Land >=2 Hectare),SC,2.08,Gram
FARM0073,Anita Deshmukh,XXXX-XXXX-2834,87201ee024ed3437873f4f5309c26194746295cfcb07d9d1ea69df9c592c80a7,1976-09-13,Female,27,487,,534259,9796126976,"Vill. B, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),General,1.86,Groundnut
FARM0004,Sangeeta Singh,XXXX-XXXX-3187,261c9d7c5071dcfae9ee87d7a9f28606c84564170c849ead2f125bf8a9a1cd66,1980-03-06,Female,27,498,,550323,7563938104,"Vill. C, Tal. Y",Marginal Farmer (Land < 1 Hectare),OBC,0.84,Groundnut
FARM0012,Geeta Patel,XXXX-XXXX-4813,a09776e7f6a5e5d009905f344e8528609c1ab1ddc6cdf8c5a25f6146ebc5b092,1991-04-03,Female,27,498,,558532,6476288171,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),SC,4.5,Groundnut
FARM0086,Priya Deshmukh,XXXX-XXXX-5122,4abd77636a0391991221d4b3f1d05d76a2947e66fef37747e72c98b626f61c47,1975-05-03,Female,27,497,,552577,9822344052,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),SC,3.98,Groundnut
FARM0046,Sunita Patil,XXXX-XXXX-0383,23e3e0377d8b588e4e11b1d58b0d6ccb4b269f3e15e249eb6bdcbadba86bd444,1985-04-03,Female,27,497,,550323,9963783732,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),ST,2.7,Groundnut
FARM0069,Sunita Mehta,XXXX-XXXX-9518,0d03c8ee2385f7f37ee7abe34347b76bc0a6406ac5a2b8b42ed3f6a4b8ef36d1,1959-12-16,Female,27,469,,552577,8769594786,"Vill. B, Tal. Z",Marginal Farmer (Land < 1 Hectare),ST,0.76,Groundnut
