farmer_id,farmer_name,aadhaar,aadhaar_hash,dob,gender,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,mobile_no,address,farmer_category,caste_category,farm_area_ha,crop
FARM0170,Kavita Singh,9336-4118-7912,ccf58324b16f77950971583c961fbebabee91c08cb12dfee3796a2aeae9ecbcf,1958-01-16,Female,14,866,,546378,9887936281,"Vill. D, Tal. Z",Big Farmer (Land >=2 Hectare),SC,2.88,Wheat
FARM0179,Vikas Jain,9298-1515-1885,6e5d1e8540c9968c3fef4c34a048663f5aec2fda6be2c45e8e0b8171fc55ca85,2023-08-14,Female,32,409,,523943,7463888291,"Vill. A, Tal. Y",Marginal Farmer (Land <1 Hectare),SC,2.82,Wheat
FARM0206,Rajesh Chauhan,6125-4878-8822,380afd95ea75041c8164f63660dc8abbb16b55f4498692825f86f1ce3625b281,1959-11-02,Female,22,871,,518634,6403516403,"Vill. C, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,0.92,Wheat
FARM0224,Vikas Patel,2687-4259-2091,4e8c2e8a8c078e8c8d697b8ee072ed2ebe31f978f4780779f578a87766131b99,1960-09-23,Female,32,692,,588915,9760994436,"Vill. D, Tal. Y",Big Farmer (Land >=2 Hectare),SC,4.78,Wheat
FARM0335,Vikas Gupta,1411-5517-1110,92b08a0113a7d81ff50a6c1c2f64fe06d7565c211e3faa23c3e61458fd96059f,1967-08-07,Female,34,936,,590989,7688430972,"Vill. A, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,1.11,Wheat
FARM0339,Meena Sharma,4841-1346-1134,1041c4c5ef6d828452771a4ae12c5ea096b9dade05277e7fd84b339afc459a6f,1954-07-31,Female,13,478,,510884,7485141177,"Vill. C, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,3.74,Wheat
FARM0397,Vikas Gupta,5047-7179-6756,6ddd46ba9fdc82be69a7a7f88409b342217feea494129b40d7148c848267b782,1990-07-06,Female,34,917,,538445,8401938606,"Vill. D, Tal. Z",Marginal Farmer (Land <1 Hectare),SC,4.8,Wheat
FARM0451,Priya Chauhan,6869-2663-3468,47015a1d79f3351bc9da5619c8936813c985fbea67837b0ef8ae565a3b465607,1993-09-17,Female,31,907,,534997,6277975699,"Vill. A, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.02,Wheat
FARM0494,Anjali Jain,8700-7434-1912,a7e21154c1a3af715a68c70016b06d4c85c597384954ddc63ffe657722e55d2a,1974-08-20,Female,5,292,,557293,7495731074,"Vill. B, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,1.12,Wheat
FARM0526,Meena Chauhan,7512-7323-9558,ea8a8f165250d70f3004f80332004ac08db2c2f077f004e3e77371fbd4b5c068,1960-05-06,Female,29,418,,510009,8644215914,"Vill. A, Tal. Z",Marginal Farmer (Land <1 Hectare),SC,0.86,Wheat
FARM0607,Meena Gupta,5127-7557-2435,d682ed7fa042a5a5f8cf0f8c40012ba23274ba5a47fd178fdcd17b4ef56eebfe,1986-11-10,Female,24,185,,549650,9342873138,"Vill. D, Tal. X",Marginal Farmer (Land <1 Hectare),SC,2.08,Wheat
FARM0640,Kavita Verma,5616-9077-7351,e74adc24d94460a4eb290f02f7113214db360d602e481626b98f02a3898a0737,1980-12-01,Female,13,413,,505785,6212052587,"Vill. A, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,3.94,Wheat
