farmer_id,farmer_name,aadhaar,aadhaar_hash,dob,gender,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,mobile_no,address,farmer_category,caste_category,farm_area_ha,crop
FARM0019,Priya Sharma,XXXX-XXXX-6066,66a1b4acdd36f37ad9a53c0626a0a933d0a0147307c0326d79bf733f5717fd8c,1962-05-12,Female,27,498,,558123,8083877650,"Vill. A, Tal. Z",Big Farmer (Land >=2 Hectare),SC,2.76,Maize
FARM0110,Priya Deshmukh,9020-2805-1039,3aedb3846e895d306ec6b0ed4e6de6b27b297f0838a4ae749387279922256aed,2008-10-03,Female,11,100,,579421,6351016131,"Vill. C, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,2.24,Maize
FARM0214,Kavita Chauhan,8134-5331-1372,b1861c9596c0a1bd2e0145fe1967c4a5d7cf10ff6c99ebfb3ddab425bafc702c,1988-04-21,Female,11,654,,585584,8901119623,"Vill. B, Tal. Y",Marginal Farmer (Land <1 Hectare),SC,3.43,Maize
FARM0222,Vikas Kumar,6306-8353-8581,3dd04173d97b5d197299cbb35332471b0fbb969826fcab9e87f11eeac522ea43,1959-05-25,Female,5,740,,552183,7392778384,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),SC,3.52,Maize
FARM0249,Sunita Gupta,5486-1996-4515,909602367b6395fc2458acad4c9435ab50cb0d52db95934b0656dd85c4bdcdfc,2015-09-29,Female,1,278,,573790,6803514021,"Vill. B, Tal. X",Small Farmer (Land >=1 & <2 Hectare),SC,3.96,Maize
FARM0302,Priya Sharma,4037-8325-8144,10524b44b1c698a69c63e58314f7c7f5e7b205e37ad74af9d0fb19df142a7780,1987-10-28,Female,3,218,,554093,7414537744,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.28,Maize
FARM0326,Amit Kumar,8865-6724-4189,29426ec4f8302b647801e8fdc4870d145b0bc65b5c497130ce5baab195057987,1965-06-08,Female,25,239,,522941,9929761006,"Vill. C, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,0.83,Maize
FARM0342,Vikas Deshmukh,1862-9458-2311,774fe08f343acf476058fbd8502bac2d6b6bac6b66ea4e3be78544a72e07079a,2004-01-02,Female,4,474,,533139,6275612544,"Vill. B, Tal. X",Marginal Farmer (Land <1 Hectare),SC,1.66,Maize
FARM0385,Amit Gupta,7555-8028-7370,7bb5f2b5b82ea12f97e3b99cfa5056bf40935fa2d5f8e09082f9730180fb2a31,1975-06-25,Female,25,908,,573816,8538416206,"Vill. A, Tal. X",Marginal Farmer (Land <1 Hectare),SC,4.26,Maize
FARM0463,Rohan Deshmukh,1524-4980-6579,6c1ee5b38d7b94c34b29e35a12d20f9f175203f987ddf8a1abd5505a98ebc351,2023-05-05,Female,21,403,,516627,7659265482,"Vill. A, Tal. X",Small Farmer (Land >=1 & <2 Hectare),SC,3.31,Maize
FARM0474,Vikas Deshmukh,3004-9243-5987,809982540d6663e2ede97dd6a0bb025c027246f73e7e8956a082db9041258b6e,2019-09-30,Female,12,690,,544721,8399378084,"Vill. E, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,2.89,Maize
FARM0524,Sunita Gupta,9983-9672-1871,324f613c12b6d6bb966ffa580c8b327915bd10ca1d6e64a613ce2a92894ba5c8,2012-08-31,Female,20,593,,570727,6864602589,"Vill. C, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,3.61,Maize
FARM0549,Deepak Kumar,1237-3994-6064,40be73f7dea9a56c58524dbc3722ebb85181ce5e1ed04550dda5eebbaa826282,1980-06-10,Female,30,456,,526872,7748468369,"Vill. A, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,3.2,Maize
