farmer_id,farmer_name,aadhaar,aadhaar_hash,dob,gender,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,mobile_no,address,farmer_category,caste_category,farm_area_ha,crop
FARM0112,Rohan Patel,3106-7740-3605,0452113b3ddbe3446b0015ee5fe7a099fb220791ff783d95e7582066547f8912,1994-10-25,Female,5,595,,523059,8190482554,"Vill. C, Tal. Z",Marginal Farmer (Land <1 Hectare),SC,2.38,Rice
FARM0155,Sunita Chauhan,4414-5884-7599,ecaff2b6e8fb2a6ce4cd1d4c5ce596978a0e892309eb15c15573da83919204ac,1979-05-05,Female,18,103,,527380,9284053276,"Vill. D, Tal. Y",Marginal Farmer (Land <1 Hectare),SC,1.68,Rice
FARM0168,Kavita Kumar,8817-4200-1455,627d68b7252b8a7afbf1679d0a45c3d4a766748392cd6ef5a411892725d64e66,1950-11-07,Female,16,433,,599486,9397512528,"Vill. D, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,1.67,Rice
FARM0181,Kavita Sharma,7866-6845-8389,18ddd7dc6ef2f1fac7e642fff8ece26efc49ec8f15c6014b2c571664a68bfc5e,1958-11-20,Female,28,376,,580516,6145682105,"Vill. B, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,4.9,Rice
FARM0227,Vikas Jain,9687-3490-9293,86f7d428f18c218d717f2eb736054cd9505e4bb69fe7f102d1d5edf8b1b3527a,1984-05-03,Female,22,434,,597125,7334588695,"Vill. B, Tal. X",Big Farmer (Land >=2 Hectare),SC,2.21,Rice
FARM0232,Priya Jain,6845-7109-5737,92ae77ca0599ae7106a34e2bf4474b1e07c4031b7ef1fb83e11c41c2144f1e54,1992-05-07,Female,32,731,,587785,6001087968,"Vill. D, Tal. Y",Marginal Farmer (Land <1 Hectare),SC,3.54,Rice
FARM0234,Vikas Jain,6972-8542-7023,d5c2a4541b3c08d5268ce86eff57a134962b3c18716f2261f2e6ad66b0389c1f,1986-08-21,Female,10,614,,532075,9338877040,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),SC,2.2,Rice
FARM0284,Vikas Kumar,4737-7800-5982,1bb981c7182ac4f28401c59b7cc6b1e3f816c6ae0fb95c26fd40b2124806be76,2010-02-02,Female,10,688,,506339,8721916154,"Vill. D, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,0.93,Rice
FARM0286,Deepak Chauhan,4876-9767-7069,edbd6cbde60ed8fc640cdb3547cf5503913004e7c45fe8de2d0fe53b52c7f180,2007-04-02,Female,5,766,,568689,9950982346,"Vill. E, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,3.81,Rice
FARM0298,Meena Yadav,6181-6338-8403,80f0e6760cc63fa7f00155ab934388b0f6dbce98362c78fe87be47b3fb3dfcd4,1992-04-21,Female,2,170,,587980,9509652194,"Vill. B, Tal. Y",Big Farmer (Land >=2 Hectare),SC,3.64,Rice
